,season,id,short_name,home_team,away_team,toss_won,decision,winner,venue_id,venue_name,pom,home_wickets,home_boundaries,away_wickets,away_boundaries,first_inn_score,first_inn_wicket,second_inn_score,second_inn_wicket
0,2022.0,1298179,ENG v PAK,ENG,PAK,England,BOWL FIRST,ENG,56441,Melbourne Cricket Ground,Sam Curran,5.0,16.0,8.0,10.0,137,8,138,5
1,2022.0,1298178,ENG v INDIA,ENG,INDIA,England,BOWL FIRST,ENG,56293,Adelaide Oval,Alex Hales,0.0,23.0,6.0,22.0,168,6,170,0
2,2022.0,1298177,NZ v PAK,NZ,PAK,New Zealand,BAT FIRST,PAK,56544,Sydney Cricket Ground,Mohammad Rizwan,4.0,12.0,3.0,15.0,152,4,153,3
3,2022.0,1298176,INDIA v ZIM,INDIA,ZIM,India,BAT FIRST,INDIA,56441,Melbourne Cricket Ground,Suryakumar Yadav,5.0,22.0,10.0,14.0,186,5,115,0
4,2022.0,1298175,BAN v PAK,BAN,PAK,Bangladesh,BAT FIRST,PAK,56293,Adelaide Oval,Shaheen Shah Afridi,8.0,14.0,5.0,10.0,127,8,128,5
5,2022.0,1298174,NED v SA,NED,SA,South Africa,BOWL FIRST,NED,56293,Adelaide Oval,Colin Ackermann,4.0,20.0,8.0,12.0,158,4,145,8
6,2022.0,1298173,ENG v SL,ENG,SL,Sri Lanka,BAT FIRST,ENG,56544,Sydney Cricket Ground,Adil Rashid,6.0,14.0,8.0,13.0,141,8,144,6
7,2022.0,1298172,AUS v AFG,AUS,AFG,Afghanistan,BOWL FIRST,AUS,56293,Adelaide Oval,Glenn Maxwell,8.0,22.0,7.0,19.0,168,8,164,7
8,2022.0,1298171,IRE v NZ,IRE,NZ,Ireland,BOWL FIRST,NZ,56293,Adelaide Oval,Kane Williamson,9.0,15.0,6.0,21.0,185,6,150,9
9,2022.0,1298170,PAK v SA,PAK,SA,Pakistan,BAT FIRST,PAK,56544,Sydney Cricket Ground,Shadab Khan,9.0,23.0,9.0,15.0,185,9,108,9
10,2022.0,1298169,BAN v INDIA,BAN,INDIA,Bangladesh,BOWL FIRST,INDIA,56293,Adelaide Oval,Virat Kohli,6.0,20.0,6.0,24.0,184,6,145,6
11,2022.0,1298168,NED v ZIM,NED,ZIM,Zimbabwe,BAT FIRST,NED,56293,Adelaide Oval,Max O'Dowd,5.0,16.0,10.0,11.0,117,0,120,5
12,2022.0,1298167,ENG v NZ,ENG,NZ,England,BAT FIRST,ENG,56336,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Jos Buttler,6.0,21.0,6.0,13.0,179,6,159,6
13,2022.0,1298166,AFG v SL,AFG,SL,Afghanistan,BAT FIRST,SL,56336,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Wanindu Hasaranga de Silva,8.0,12.0,4.0,17.0,144,8,148,4
14,2022.0,1298165,AUS v IRE,AUS,IRE,Ireland,BOWL FIRST,AUS,56336,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Aaron Finch,5.0,20.0,10.0,18.0,179,5,137,0
15,2022.0,1298164,INDIA v SA,INDIA,SA,India,BAT FIRST,SA,1126475,Perth Stadium,Lungi Ngidi,9.0,14.0,5.0,16.0,133,9,137,5
