,season,match_id,match_name,home_team,away_team,venue,current_innings,innings_id,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,isNotOut
0,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,PAK,1,Mohammad Rizwan,15,14,24,0,1,107.14,False
1,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,PAK,1,Babar Azam,32,28,58,2,0,114.28,False
2,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,PAK,1,Mohammad Haris,8,12,15,1,0,66.66,False
3,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,PAK,1,Shan Masood,38,28,46,2,1,135.71,False
4,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,PAK,1,Iftikhar Ahmed,0,6,8,0,0,0.00,False
5,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,PAK,1,Shadab Khan,20,14,26,2,0,142.85,False
6,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,PAK,1,Mohammad Nawaz,5,7,11,0,0,71.42,False
7,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,PAK,1,Mohammad Wasim,4,8,12,0,0,50.00,False
8,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,PAK,1,Shaheen Shah Afridi,5,3,8,1,0,166.66,True
9,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,PAK,1,Haris Rauf,1,1,3,0,0,100.00,True
10,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,ENG,2,Jos Buttler,26,17,33,3,1,152.94,False
11,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,ENG,2,Alex Hales,1,2,6,0,0,50.00,False
12,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,ENG,2,Phil Salt,10,9,16,2,0,111.11,False
13,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,ENG,2,Ben Stokes,52,49,81,5,1,106.12,True
14,2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,ENG,2,Harry Brook,20,23,36,1,0,86.95,False
